                rhon                    R                    a                  kap                 kapl                 kapu                delta                 dell                 delu                    F
                 col0                 col1                     col2                 col3                 col4                 col5                   col6                     col7                   col8                 col9  
                  0.0    8.284599250829046   0.00019324315110225143   1.3770930704253126   1.0696976480908233   1.6844884927598018                    0.0                      0.0                    0.0    48.65327820000002  
  0.06648887153814667    8.280465587423132       0.1919409998654391      1.3607026461415   1.1938796729739025   1.5275256193090971   0.052896918481462774     0.052896918481462774   0.052896918481462774           48.7010246  
  0.09276360930283101     8.27331171367475       0.2729283417811921    1.344312221857687   1.3180616978569817   1.3705627458583924    0.02255904859011087   -0.0025563868584134843    0.04767448403863523    48.74025660000001  
   0.1121833458146065    8.268916548648825      0.32989877919536026   1.3458686463588247   1.3201460511372072   1.3715912415804425   0.026507307790915386    0.0011221378330106336    0.05189247774882014   48.772347200000006  
   0.1281873029757786    8.264842016296928       0.3764525556944571   1.3445235387102104    1.323336734786931   1.3657103426334898   0.029309844056268654    0.0037682345238803402    0.05485145358865697    48.80015879999999  
   0.1421659822975308    8.262063129584444       0.4190030711569088   1.3383399035682528    1.342207069283785   1.3344727378527208    0.03413715282889228     0.008510467156155123    0.05976383850162943   48.825365499999975  
  0.15479136833909074    8.257206940577698      0.45619668277229763   1.3367773835139052   1.3149991897735485    1.358555577254262     0.0332989397837754     0.007772406411109695     0.0588254731564411    48.84893939999999  
   0.1664297700412535    8.254988123687388       0.4909690685384369   1.3354312398417651   1.3291852864455607   1.3416771932379696    0.03789392583874281     0.012506053578806547    0.06328179809867908   48.871441299999994  
  0.17731680444299588    8.249972961268863        0.523401456044509    1.332444966477918    1.313377037982169   1.3515128949736674   0.036788827070912716     0.011352018499507475    0.06222563564231795           48.8931579  
  0.18760791734877721    8.247870752072647       0.5533668247419423   1.3322840911491296   1.3137983658747936   1.3507698164234656    0.04121834183391105     0.015693357308418376    0.06674332635940372    48.91426010000001  
  0.19741591517875054    8.243433775525824       0.5828730274642848   1.3307224352896134    1.315487146996055    1.345957723583172   0.041187823115016176     0.015584007044323726    0.06679163918570863   48.934777600000004  
  0.20682571371202316    8.240888787233539       0.6096234405855587    1.331753524932588   1.3156950551268896   1.3478119947382865   0.044521896930689725     0.018605168660030296    0.07043862520134915    48.95441510000001  
